证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
300347.SZ,研究和试验发展,2012/8/17,民营企业,,,广东正中珠江会计师事务所有限公司,否,2013
300348.SZ,软件和信息技术服务业,2012/8/17,民营企业,,,天健会计师事务所(特殊普通合伙),否,2013
300349.SZ,仪器仪表制造业,2012/8/17,民营企业,杨斌,国内自然人,中瑞岳华会计师事务所(特殊普通合伙),否,2013
300350.SZ,仓储业,2012/8/21,民营企业,,,大信会计师事务有限公司,否,2013
300351.SZ,计算机、通信和其他电子设备制造业,2012/9/20,民营企业,娄爱芹,国内自然人,北京兴华会计师事务所有限责任公司,否,2013
300352.SZ,软件和信息技术服务业,2012/9/12,民营企业,,,立信会计师事务所(特殊普通合伙),否,2013
300353.SZ,计算机、通信和其他电子设备制造业,2012/9/27,民营企业,,,上海众华沪银会计师事务所有限公司，深圳市鹏城会计师事务所有限公司,否,2013
300354.SZ,仪器仪表制造业,2012/9/20,民营企业,,,立信会计师事务所(特殊普通合伙),否,2013
300355.SZ,土木工程建筑业,2012/9/27,民营企业,,,中审亚太会计师事务所(特殊普通合伙)，利安达会计师事务所有限责任公司,否,2013
300356.SZ,电气机械及器材制造业,2012/10/9,民营企业,龙昌明,国内自然人,广东正中珠江会计师事务所有限公司,否,2013
300357.SZ,医药制造业,2014/1/21,民营企业,胡赓熙,国内自然人,天健会计师事务所(特殊普通合伙),否,2013
300358.SZ,专用设备制造业,2014/1/21,民营企业,唐岳,国内自然人,立信会计师事务所(特殊普通合伙),否,2013
