证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
600575.SH,水上运输业,2003/3/28,国有企业,安徽省人民政府国有资产监督管理委员会,事业单位,天健会计师事务所(特殊普通合伙),否,2014
600576.SH,批发业,2003/2/20,民营企业,孔德永,中国公民,中汇会计师事务所(特殊普通合伙),否,2014
600577.SH,电气机械及器材制造业,2002/9/11,民营企业,李光荣,中国公民,华普天健会计师事务所(特殊普通合伙),否,2014
600578.SH,电力、热力生产和供应业,2002/5/10,国有企业,北京能源投资(集团)有限公司,国有企业,天职国际会计师事务所(特殊普通合伙),否,2014
600579.SH,专用设备制造业,2002/8/9,国有企业,中国化工集团公司,国有企业,立信会计师事务所(特殊普通合伙),否,2014
600580.SH,电气机械及器材制造业,2002/6/6,民营企业,陈建成,中国公民,立信会计师事务所(特殊普通合伙),否,2014
600581.SH,黑色金属冶炼及压延加工业,2002/8/16,国有企业,宝钢集团有限公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2014
600582.SH,专用设备制造业,2002/5/15,国有企业,国务院国有资产监督管理委员会,机关事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600583.SH,开采辅助活动,2002/2/5,国有企业,中国海洋石油总公司,国有企业,信永中和会计师事务所(特殊普通合伙),否,2014
600584.SH,计算机、通信和其他电子设备制造业,2003/6/3,民营企业,王新潮,中国公民,安永华明会计师事务所(特殊普通合伙),否,2014
600585.SH,非金属矿物制品业,2002/2/7,国有企业,安徽省国有资产监督管理委员会,事业单位,毕马威华振会计师事务所(特殊普通合伙)，毕马威会计师事务所,是,2014
600586.SH,非金属矿物制品业,2002/8/15,民营企业,丁茂良,中国公民,大信会计师事务所(特殊普通合伙),否,2014
600587.SH,专用设备制造业,2002/9/27,国有企业,山东省人民政府国有资产监督管理委员会,事业单位,上会会计师事务所(特殊普通合伙),否,2014
600588.SH,软件和信息技术服务业,2001/5/18,民营企业,王文京,中国公民,安永华明会计师事务所(特殊普通合伙),否,2014
600589.SH,化学原料及化学制品制造业,2001/6/12,民营企业,林素娟,中国公民,广东正中珠江会计师事务所(特殊普通合伙),否,2014
600590.SH,电气机械及器材制造业,2002/7/3,国有企业,,,大信会计师事务所(特殊普通合伙),否,2014
600592.SH,通用设备制造业,2002/8/5,国有企业,漳州市国有资产监督管理委员会,事业单位,致同会计师事务所(特殊普通合伙),否,2014
600593.SH,公共设施管理业,2002/7/11,国有企业,大连市星海实业发展总公司,国有企业,大华会计师事务所(特殊普通合伙),否,2014
600594.SH,医药制造业,2004/3/23,民营企业,窦啟玲,中国公民,北京中证天通会计师事务所(特殊普通合伙),否,2014
600595.SH,有色金属冶炼和压延加工业,2002/6/26,民营企业,张志平，张高波,自然人,北京兴华会计师事务所(特殊普通合伙),否,2014
600596.SH,化学原料及化学制品制造业,2001/9/6,民营企业,徐冠巨,中国公民,天健会计师事务所(特殊普通合伙),否,2014
600597.SH,食品制造业,2002/8/28,国有企业,上海市国有资产监督管理委员会,事业单位,德勤华永会计师事务所(特殊普通合伙),否,2014
600598.SH,农业,2002/3/29,国有企业,,,瑞华会计师事务所(特殊普通合伙),否,2014
600599.SH,化学原料及化学制品制造业,2001/8/28,民营企业,赵伟平,中国公民,天健会计师事务所(特殊普通合伙),否,2014
600600.SH,酒、饮料和精制茶制造业,1993/8/27,国有企业,青岛市人民政府国有资产监督管理委员会,事业单位,普华永道中天会计师事务所(特殊普通合伙),是,2014
600601.SH,计算机、通信和其他电子设备制造业,1990/12/19,国有企业,中华人民共和国教育部,机关事业单位,上会会计师事务所(特殊普通合伙),否,2014
600602.SH,计算机、通信和其他电子设备制造业,1990/12/19,国有企业,上海市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600603.SH,综合,1992/1/13,民营企业,陈铁铭,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600604.SH,房地产业,1992/3/27,国有企业,上海市闸北区国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600605.SH,批发业,1992/3/27,民营企业,郑树昌,中国公民,上会会计师事务所(特殊普通合伙),否,2014
600606.SH,房地产业,1992/3/27,国有企业,上海市国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600608.SH,黑色金属冶炼及压延加工业,1992/3/27,国有企业,昆明市人民政府国有资产监督管理委员会,事业单位,中审众环会计师事务所(特殊普通合伙),否,2014
600609.SH,汽车制造业,1992/7/24,国有企业,沈阳工业国有资产经营有限公司,国有企业,众华会计师事务所(特殊普通合伙),否,2014
600610.SH,专用设备制造业,1992/8/5,国有企业,何晓阳,中国公民,众华会计师事务所(特殊普通合伙),否,2014
600611.SH,道路运输业,1992/8/7,民营企业,上海大众企业管理有限公司,集体所有制企业,立信会计师事务所(特殊普通合伙),否,2014
600612.SH,其他制造业,1992/8/14,国有企业,上海市黄浦区国有资产监督管理委员会,事业单位,众华会计师事务所(特殊普通合伙),否,2014
600613.SH,医药制造业,1992/8/20,民营企业,张芝庭，文邦英夫妇,中国公民,立信会计师事务所(特殊普通合伙),否,2014
600614.SH,医药制造业,1992/8/28,民营企业,许宝星,中国公民,北京永拓会计师事务所(特殊普通合伙),否,2014
600615.SH,金属制品业,1992/9/10,民营企业,涂建华,中国公民,天健会计师事务所(特殊普通合伙),否,2014
600616.SH,酒、饮料和精制茶制造业,1992/9/29,国有企业,上海国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600617.SH,燃气生产和供应业,1992/10/13,国有企业,山西省国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600618.SH,化学原料及化学制品制造业,1992/11/13,国有企业,上海国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600619.SH,通用设备制造业,1992/11/16,国有企业,上海市国有资产监督管理委员会,事业单位,德勤华永会计师事务所(特殊普通合伙),否,2014
600620.SH,综合,1992/11/17,民营企业,叶立培，叶茂菁,国外自然人,立信会计师事务所(特殊普通合伙),否,2014
600621.SH,房地产业,1992/12/2,国有企业,上海市国有资产监督管理委员会,事业单位,众华会计师事务所(特殊普通合伙),否,2014
600622.SH,房地产业,1992/12/3,国有企业,上海市嘉定区国有资产监督管理委员会,事业单位,众华会计师事务所(特殊普通合伙),否,2014
600623.SH,橡胶和塑料制品业,1992/12/4,国有企业,上海市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600624.SH,综合,1993/1/5,国有企业,中华人民共和国教育部,机关事业单位,立信会计师事务所(特殊普通合伙),否,2014
600626.SH,批发业,1993/1/7,国有企业,上海市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600628.SH,零售业,1993/1/19,国有企业,,,上会会计师事务所(特殊普通合伙),否,2014
600629.SH,非金属矿物制品业,1993/2/9,国有企业,上海国盛(集团)有限公司,国有企业,众华会计师事务所(特殊普通合伙),否,2014
600630.SH,纺织业,1993/2/9,国有企业,,,立信会计师事务所(特殊普通合伙),否,2014
600633.SH,新闻和出版业,1993/3/4,国有企业,浙江日报报业集团,国有企业,天健会计师事务所(特殊普通合伙),否,2014
600634.SH,非金属矿物制品业,1993/3/4,民营企业,颜静刚,中国公民,众华会计师事务所(特殊普通合伙),否,2014
600635.SH,燃气生产和供应业,1993/3/4,民营企业,,,立信会计师事务所(特殊普通合伙),否,2014
600636.SH,化学原料及化学制品制造业,1993/3/16,国有企业,上海市国有资产管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600637.SH,电信、广播电视和卫星传输服务,1993/3/16,国有企业,上海市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600638.SH,房地产业,1993/3/26,国有企业,北京国际信托有限公司(德瑞股权投资基金集合资金信托计划),地方国企,立信会计师事务所(特殊普通合伙),否,2014
600639.SH,房地产业,1993/3/26,国有企业,上海市国有资产监督管理委员会，上海市浦东新区国有资产监督管理委员会,事业单位,德勤华永会计师事务所(特殊普通合伙),否,2014
600640.SH,商务服务业,1993/4/7,国有企业,国务院国有资产监督管理委员会,机关事业单位,中审众环会计师事务所(特殊普通合伙),否,2014
600641.SH,房地产业,1993/4/7,其他,林逢生,国外自然人,众华会计师事务所(特殊普通合伙),否,2014
600642.SH,燃气生产和供应业,1993/4/16,国有企业,,,上会会计师事务所(特殊普通合伙),否,2014
600643.SH,其他金融业,1993/4/26,民营企业,,,立信会计师事务所(特殊普通合伙),否,2014
600644.SH,电力、热力生产和供应业,1993/4/26,国有企业,,,中天运会计师事务所(特殊普通合伙),否,2014
600645.SH,研究和试验发展,1993/5/4,民营企业,李德福,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600647.SH,房地产业,1993/5/4,国有企业,财政部,机关事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600648.SH,批发业,1993/5/4,国有企业,上海市浦东新区国有资产监督管理委员会,事业单位,天职国际会计师事务所(特殊普通合伙),否,2014
600649.SH,房地产业,1993/5/18,国有企业,上海市国有资产监督管理委员会,事业单位,普华永道中天会计师事务所(特殊普通合伙),否,2014
600650.SH,道路运输业,1993/6/7,国有企业,上海市国有资产监督管理委员会,事业单位,德勤华永会计师事务所(特殊普通合伙),否,2014
600651.SH,电气机械及器材制造业,1990/12/19,国有企业,上海市国有资产监督管理委员会,事业单位,上会会计师事务所(特殊普通合伙),否,2014
600652.SH,煤炭开采和洗选业,1990/12/19,民营企业,雷宪红，张立燕，刘祥,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600653.SH,零售业,1990/12/19,国有企业,华晨汽车集团控股有限公司,国有企业,众华会计师事务所(特殊普通合伙),否,2014
600654.SH,计算机、通信和其他电子设备制造业,1990/12/19,国有企业,涂国身,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600655.SH,零售业,1992/9/2,民营企业,郭广昌,中国公民,上会会计师事务所(特殊普通合伙),否,2014
600656.SH,零售业,1990/12/19,民营企业,余蒂妮,中国公民,亚太(集团)会计师事务所(特殊普通合伙),否,2014
600657.SH,房地产业,1993/5/24,国有企业,财政部,机关事业单位,安永华明会计师事务所(特殊普通合伙),否,2014
600658.SH,房地产业,1993/5/24,国有企业,北京电子控股有限责任公司,国有企业,中审亚太会计师事务所(特殊普通合伙),否,2014
600660.SH,非金属矿物制品业,1993/6/10,民营企业,曹德旺，陈凤英夫妇,自然人,普华永道中天会计师事务所(特殊普通合伙),否,2014
600661.SH,教育,1993/6/14,国有企业,中华人民共和国教育部,机关事业单位,立信会计师事务所(特殊普通合伙),否,2014
600662.SH,道路运输业,1993/6/14,国有企业,上海市国有资产监督管理委员会,事业单位,大华会计师事务所(特殊普通合伙),否,2014
600663.SH,房地产业,1993/6/28,国有企业,上海市国有资产监督管理委员,事业单位,安永华明会计师事务所(特殊普通合伙),否,2014
600664.SH,医药制造业,1993/6/29,国有企业,哈尔滨市国有资产监督管理委员会,事业单位,北京兴华会计师事务所(特殊普通合伙),否,2014
600665.SH,房地产业,1993/7/9,国有企业,西安高科(集团)公司,国有企业,希格玛会计师事务所(特殊普通合伙),否,2014
600666.SH,医药制造业,1993/7/12,国有企业,太极集团有限公司,有限责任（公司）,大华会计师事务所(特殊普通合伙),否,2014
600667.SH,计算机、通信和其他电子设备制造业,1993/7/28,国有企业,无锡市国有资产管理委员会,事业单位,江苏公证天业会计师事务所(特殊普通合伙),否,2014
600668.SH,非金属矿物制品业,1993/7/28,国有企业,金华市国有资产监督管理委员会,事业单位,天健会计师事务所(特殊普通合伙),否,2014
600671.SH,医药制造业,1993/8/23,民营企业,杨宗昌,中国公民,中审华寅五洲会计师事务所(特殊普通合伙),否,2014
600673.SH,金属制品业,1993/9/17,民营企业,张中能，郭梅兰夫妇,中国公民,天健会计师事务所(特殊普通合伙),否,2014
600674.SH,电力、热力生产和供应业,1993/9/24,国有企业,四川省政府国有资产监督管理委员会,事业单位,信永中和会计师事务所(特殊普通合伙),否,2014
600675.SH,房地产业,1993/9/24,国有企业,上海市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600676.SH,道路运输业,1993/9/28,国有企业,上海市国有资产监督管理委员会,事业单位,上会会计师事务所(特殊普通合伙),否,2014
600677.SH,批发业,1993/9/28,国有企业,国务院国有资产监督管理委员会,机关事业单位,立信会计师事务所(特殊普通合伙),否,2014
600678.SH,非金属矿物制品业,1993/10/8,民营企业,冯海良,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600679.SH,铁路、船舶、航空航天和其它运输设备制造业,1993/10/8,国有企业,,,上会会计师事务所(特殊普通合伙),否,2014
600680.SH,计算机、通信和其他电子设备制造业,1993/10/18,国有企业,中国普天信息产业集团公司,国有企业,中审众环会计师事务所(特殊普通合伙),否,2014
600681.SH,建筑装饰和其他建筑业,1993/10/18,民营企业,何长津,中国公民,中审众环会计师事务所(特殊普通合伙),否,2014
600682.SH,零售业,1993/10/18,民营企业,袁亚非,中国公民,江苏苏亚金诚会计师事务所(特殊普通合伙),否,2014
600683.SH,房地产业,1993/10/25,国有企业,北京市人民政府国有资产监督管理委员会,事业单位,天职国际会计师事务所(特殊普通合伙),否,2014
600684.SH,房地产业,1993/10/28,国有企业,广州市人民政府国有资产监督管理委员会,事业单位,大华会计师事务所(特殊普通合伙),否,2014
600685.SH,铁路、船舶、航空航天和其它运输设备制造业,1993/10/28,国有企业,,,信永中和会计师事务所(特殊普通合伙),是,2014
600686.SH,汽车制造业,1993/11/8,国有企业,福建省国有资产监督管理委员会,事业单位,致同会计师事务所(特殊普通合伙),否,2014
600687.SH,其他制造业,1993/11/8,民营企业,徐建刚,中国公民,众华会计师事务所(特殊普通合伙),否,2014
600688.SH,石油加工、炼焦及核燃料加工业,1993/11/8,国有企业,中国石油化工集团公司,国有企业,普华永道中天会计师事务所(特殊普通合伙),是,2014
600689.SH,纺织业,1993/11/8,国有企业,重庆市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600690.SH,电气机械及器材制造业,1993/11/19,国有企业,海尔集团公司,集体所有制企业,山东和信会计师事务所(特殊普通合伙),否,2014
600691.SH,化学原料及化学制品制造业,1993/11/19,民营企业,山西省国有资产监督管理委员会,事业单位,信永中和会计师事务所(特殊普通合伙),否,2014
600692.SH,水上运输业,1993/11/19,国有企业,上海市崇明县国有资产监督管理委员会,事业单位,众华会计师事务所(特殊普通合伙),否,2014
600693.SH,零售业,1993/11/22,民营企业,郑淑芳,中国公民,福建华兴会计师事务所(特殊普通合伙),否,2014
600694.SH,零售业,1993/11/22,国有企业,,,安永华明会计师事务所(特殊普通合伙),否,2014
600695.SH,农副食品加工业,1993/11/22,其他,绿洲投资集团有限公司(BVI),集体所有制企业,瑞华会计师事务所(特殊普通合伙),否,2014
600696.SH,房地产业,1993/12/6,民营企业,鲜言,中国公民,中喜会计师事务所(特殊普通合伙),否,2014
600697.SH,零售业,1993/12/6,国有企业,长春市人民政府国有资产监督管理委员会,事业单位,信永中和会计师事务所(特殊普通合伙),否,2014
600698.SH,汽车制造业,1993/12/6,国有企业,中国兵器装备集团公司,国有企业,大信会计师事务所(特殊普通合伙),否,2014
600699.SH,汽车制造业,1993/12/6,民营企业,王剑峰,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600701.SH,综合,1996/5/28,国有企业,哈尔滨工业大学,院校,中准会计师事务所(特殊普通合伙),否,2014
600702.SH,酒、饮料和精制茶制造业,1996/5/24,国有企业,,,信永中和会计师事务所(特殊普通合伙),否,2014
600703.SH,计算机、通信和其他电子设备制造业,1996/5/28,民营企业,林秀成,中国公民,中审众环会计师事务所(特殊普通合伙),否,2014
600704.SH,零售业,1996/6/6,国有企业,浙江省人民政府国有资产监督管理委员会,事业单位,天健会计师事务所(特殊普通合伙),否,2014
600705.SH,其他金融业,1996/5/16,国有企业,国务院国有资产监督管理委员会,机关事业单位,致同会计师事务所(特殊普通合伙),否,2014
600706.SH,公共设施管理业,1996/5/16,国有企业,西安曲江新区管理委员会,事业单位,希格玛会计师事务所(特殊普通合伙),否,2014
600707.SH,计算机、通信和其他电子设备制造业,1996/5/20,国有企业,中国电子信息产业集团有限公司,国有企业,信永中和会计师事务所(特殊普通合伙),否,2014
600708.SH,道路运输业,1996/6/6,国有企业,上海市国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600710.SH,专用设备制造业,1996/7/1,国有企业,中国国有资产监督管理委员会,机关事业单位,信永中和会计师事务所(特殊普通合伙),否,2014
600711.SH,有色金属矿采选业,1996/5/31,民营企业,姚娟英，姚雄杰姐弟,中国公民,北京中证天通会计师事务所(特殊普通合伙),否,2014
600712.SH,零售业,1996/6/26,国有企业,南宁市人民政府国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600713.SH,零售业,1996/7/1,国有企业,南京市人民政府国有资产监督管理委员会,事业单位,毕马威华振会计师事务所(特殊普通合伙)上海分所,否,2014
600714.SH,煤炭开采和洗选业,1996/6/6,国有企业,青海省政府国有资产监督管理委员会,事业单位,北京永拓会计师事务所(特殊普通合伙),否,2014
600715.SH,汽车制造业,1996/7/1,国有企业,北京经济技术开发区国有资产管理办公室,事业单位,大华会计师事务所(特殊普通合伙),否,2014
600716.SH,房地产业,1996/7/2,国有企业,江苏省人民政府,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600717.SH,水上运输业,1996/6/14,国有企业,天津市人民政府国有资产监督管理委员会,事业单位,中审华寅五洲会计师事务所(特殊普通合伙),否,2014
600718.SH,软件和信息技术服务业,1996/6/18,国有企业,,,立信会计师事务所(特殊普通合伙),否,2014
600719.SH,电力、热力生产和供应业,1996/7/16,国有企业,大连市人民政府国有资产监督管理委员会,事业单位,中准会计师事务所(特殊普通合伙),否,2014
600720.SH,非金属矿物制品业,1996/7/16,国有企业,国务院国有资产监督管理委员会,机关事业单位,信永中和会计师事务所(特殊普通合伙),否,2014
600721.SH,石油加工、炼焦及核燃料加工业,1996/6/26,国有企业,新疆生产建设兵团第六师国有资产经营有限责任公司,国有企业,希格玛会计师事务所(特殊普通合伙),否,2014
600722.SH,化学原料及化学制品制造业,1996/6/26,国有企业,河北省人民政府国有资产监督管理委员会,事业单位,致同会计师事务所(特殊普通合伙),否,2014
600723.SH,零售业,1996/7/16,国有企业,北京市人民政府国有资产监督管理委员会,事业单位,致同会计师事务所(特殊普通合伙),否,2014
600724.SH,房地产业,1996/7/16,国有企业,宁波市人民政府国有资产监督管理委员会,事业单位,立信中联会计师事务所(特殊普通合伙),否,2014
600725.SH,石油加工、炼焦及核燃料加工业,1996/7/2,国有企业,云南煤化工集团有限公司,国有企业,大华会计师事务所(特殊普通合伙),否,2014
600726.SH,电力、热力生产和供应业,1996/7/1,国有企业,中国华电集团公司,国有企业,立信会计师事务所(特殊普通合伙),否,2014
600727.SH,化学原料及化学制品制造业,1996/7/2,国有企业,无棣县国有资产管理局,事业单位,利安达会计师事务所(特殊普通合伙),否,2014
600728.SH,软件和信息技术服务业,1996/7/16,民营企业,刘伟,中国公民,天职国际会计师事务所(特殊普通合伙),否,2014
600729.SH,零售业,1996/7/2,国有企业,重庆市国有资产监督管理委员会,事业单位,天健会计师事务所(特殊普通合伙),否,2014
600730.SH,房地产业,1996/7/26,国有企业,北京大学,院校,利安达会计师事务所(特殊普通合伙),否,2014
600731.SH,化学原料及化学制品制造业,1996/8/2,国有企业,湖南省人民政府国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600732.SH,房地产业,1996/8/16,民营企业,张兴标,中国公民,众华会计师事务所(特殊普通合伙),否,2014
600733.SH,房地产业,1996/8/16,国有企业,北京首创资产管理有限公司,国有企业,四川华信(集团)会计师事务所(特殊普通合伙),否,2014
600734.SH,批发业,1996/8/8,民营企业,景百孚,自然人,立信中联会计师事务所(特殊普通合伙),否,2014
600735.SH,皮革、毛皮、羽毛及其制品和制鞋业,1996/7/26,民营企业,张建华,中国公民,中天运会计师事务所(特殊普通合伙),否,2014
600736.SH,房地产业,1996/8/15,国有企业,苏州国家高新技术产业开发区管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600737.SH,农副食品加工业,1996/7/31,国有企业,国务院国有资产监督管理委员会,机关事业单位,天职国际会计师事务所(特殊普通合伙),否,2014
600738.SH,零售业,1996/8/2,民营企业,朱宝良,中国公民,天健会计师事务所(特殊普通合伙),否,2014
600739.SH,批发业,1996/8/19,国有企业,辽宁省人民政府国有资产监督管理委员会,事业单位,华普天健会计师事务所(特殊普通合伙),否,2014
600740.SH,石油加工、炼焦及核燃料加工业,1996/8/8,国有企业,山西焦煤集团有限责任公司,国有企业,致同会计师事务所(特殊普通合伙),否,2014
600741.SH,汽车制造业,1996/8/26,国有企业,上海汽车工业(集团)总公司,国有企业,德勤华永会计师事务所(特殊普通合伙),否,2014
600742.SH,汽车制造业,1996/8/26,国有企业,国务院国有资产监督管理委员会,机关事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600743.SH,房地产业,1996/9/9,国有企业,北京市西城区人民政府国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600744.SH,电力、热力生产和供应业,1996/9/5,国有企业,中国大唐集团公司,国有企业,信永中和会计师事务所(特殊普通合伙),否,2014
600745.SH,房地产业,1996/8/28,民营企业,高建荣,中国公民,立信会计师事务所(特殊普通合伙),否,2014
600746.SH,化学原料及化学制品制造业,1996/9/18,国有企业,镇江市人民政府国有资产监督管理委员会,事业单位,天衡会计师事务所(特殊普通合伙),否,2014
600747.SH,房地产业,1996/9/16,民营企业,代威,中国公民,中勤万信会计师事务所(特殊普通合伙),否,2014
600748.SH,房地产业,1996/9/25,国有企业,上海市国有资产监督管理委员会,事业单位,上会会计师事务所(特殊普通合伙),否,2014
600749.SH,公共设施管理业,1996/10/15,民营企业,欧阳旭,中国公民,信永中和会计师事务所(特殊普通合伙),否,2014
600750.SH,医药制造业,1996/9/23,国有企业,江西省国有资产监督管理委员会,事业单位,大信会计师事务所(特殊普通合伙),否,2014
600751.SH,水上运输业,1996/9/9,民营企业,海南航空股份有限公司工会委员会,社会团体,普华永道中天会计师事务所(特殊普通合伙),否,2014
600753.SH,批发业,1996/9/27,民营企业,李大明,中国公民,信永中和会计师事务所(特殊普通合伙),否,2014
600754.SH,住宿业,1996/10/11,国有企业,上海市国有资产监督管理委员会,事业单位,德勤华永会计师事务所(特殊普通合伙),否,2014
600755.SH,批发业,1996/10/3,国有企业,厦门市人民政府国有资产监督管理委员会,事业单位,致同会计师事务所(特殊普通合伙),否,2014
600756.SH,软件和信息技术服务业,1996/9/23,国有企业,山东省人民政府国有资产监督管理委员会,事业单位,大信会计师事务所(特殊普通合伙),否,2014
600757.SH,新闻和出版业,1996/10/3,国有企业,湖北省国有文化资产监督管理与产业发展领导小组办公室,事业单位,天健会计师事务所(特殊普通合伙),否,2014
600758.SH,电力、热力生产和供应业,1996/10/29,国有企业,辽宁省国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600759.SH,批发业,1996/10/8,民营企业,许玲(Hui Ling),中国公民,中汇会计师事务所(特殊普通合伙),否,2014
600760.SH,汽车制造业,1996/10/11,国有企业,中国航空工业集团公司,国有企业,北京中证天通会计师事务所(特殊普通合伙),否,2014
600761.SH,专用设备制造业,1996/10/9,国有企业,安徽省人民政府国有资产监督管理委员会,事业单位,华普天健会计师事务所(特殊普通合伙),否,2014
600763.SH,卫生,1996/10/30,民营企业,吕建明,自然人,天健会计师事务所(特殊普通合伙),否,2014
600764.SH,软件和信息技术服务业,1996/11/4,国有企业,,,大信会计师事务所(特殊普通合伙),否,2014
600765.SH,通用设备制造业,1996/11/6,国有企业,中国航空工业集团公司,国有企业,中审众环会计师事务所(特殊普通合伙),否,2014
600766.SH,有色金属矿采选业,1996/10/28,民营企业,徐诚惠,中国公民,中审众环会计师事务所(特殊普通合伙),否,2014
600767.SH,房地产业,1996/11/15,民营企业,钱仁高,中国公民,大华会计师事务所(特殊普通合伙),否,2014
600768.SH,有色金属冶炼和压延加工业,1996/11/11,民营企业,宋汉平，华声康等15名自然人,自然人,天健会计师事务所(特殊普通合伙),否,2014
600769.SH,化学原料及化学制品制造业,1996/11/1,国有企业,武汉东湖新技术开发区管理委员会,事业单位,中审众环会计师事务所(特殊普通合伙),否,2014
600770.SH,软件和信息技术服务业,1996/11/20,民营企业,昝圣达,中国公民,立信会计师事务所(特殊普通合伙),否,2014
600771.SH,医药制造业,1996/11/5,民营企业,郭家学,中国公民,利安达会计师事务所(特殊普通合伙),否,2014
600773.SH,房地产业,1996/11/8,民营企业,上海市闸北区国有资产监督管理委员会,事业单位,立信会计师事务所(特殊普通合伙),否,2014
600774.SH,零售业,1996/11/8,国有企业,武汉市汉阳区国有资产监督管理办公室,事业单位,中审众环会计师事务所(特殊普通合伙),否,2014
600775.SH,计算机、通信和其他电子设备制造业,1996/11/18,国有企业,中国电子信息产业集团有限公司,国有企业,天职国际会计师事务所(特殊普通合伙)，天职香港会计师事务所有限公司,是,2014
600776.SH,计算机、通信和其他电子设备制造业,1996/11/26,国有企业,中国普天信息产业集团公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2014
600777.SH,综合,1996/11/21,民营企业,刘志臣,中国公民,众华会计师事务所(特殊普通合伙),否,2014
600778.SH,零售业,1996/12/3,国有企业,乌鲁木齐市国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600779.SH,酒、饮料和精制茶制造业,1996/12/6,其他,Diageo plc(帝亚吉欧),集体联营企业,普华永道中天会计师事务所(特殊普通合伙),否,2014
600780.SH,电力、热力生产和供应业,1996/12/5,国有企业,山西省国有资产监督管理委员会,事业单位,大华会计师事务所(特殊普通合伙),否,2014
600781.SH,医药制造业,1996/12/18,民营企业,朱文臣,中国公民,瑞华会计师事务所(特殊普通合伙),否,2014
600782.SH,黑色金属冶炼及压延加工业,1996/12/25,国有企业,江西省省属国有企业资产经营(控股)有限公司,国有企业,大华会计师事务所(特殊普通合伙),否,2014
600783.SH,综合,1996/12/25,国有企业,山东省人民政府国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600784.SH,综合,1996/12/25,国有企业,山东省国有资产监督管理委员会,事业单位,大信会计师事务所(特殊普通合伙),否,2014
600785.SH,零售业,1997/1/8,民营企业,张文中,中国公民,信永中和会计师事务所(特殊普通合伙),否,2014
600787.SH,仓储业,1997/1/21,国有企业,国务院国有资产监督管理委员会,机关事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600789.SH,医药制造业,1997/2/26,国有企业,山东省人民政府国有资产监督管理委员会,事业单位,上会会计师事务所(特殊普通合伙),否,2014
600790.SH,商务服务业,1997/2/28,国有企业,绍兴市柯桥区人民政府,事业单位,天健会计师事务所(特殊普通合伙),否,2014
600791.SH,房地产业,1997/1/30,国有企业,,,瑞华会计师事务所(特殊普通合伙),否,2014
600792.SH,石油加工、炼焦及核燃料加工业,1997/1/23,国有企业,云南省人民政府国有资产监督管理委员会,事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600793.SH,造纸及纸制品业,1997/2/20,国有企业,宜宾市国有资产经营有限公司,国有企业,四川华信(集团)会计师事务所(特殊普通合伙),否,2014
600794.SH,仓储业,1997/3/6,国有企业,江苏省张家港保税区管理委员会,非企业单位,北京天圆全会计师事务所(特殊普通合伙),否,2014
600795.SH,电力、热力生产和供应业,1997/3/18,国有企业,国务院国有资产监督管理委员会,机关事业单位,瑞华会计师事务所(特殊普通合伙),否,2014
600796.SH,化学原料及化学制品制造业,1997/4/8,国有企业,海宁市财政局,事业单位,天健会计师事务所(特殊普通合伙),否,2014
