stkcd,year,st
600301,2013,1
600301,2014,1
600301,2015,1
600301,2016,1
600401,2003,1
600401,2004,1
600401,2005,1
600401,2006,1
600401,2007,1
600401,2008,1
600401,2009,1
600401,2010,1
600401,2011,1
600401,2012,1
600401,2013,1
600401,2014,1
600401,2015,1
600401,2016,1
600403,2003,1
600403,2004,1
600403,2005,1
600403,2006,1
600403,2007,1
600403,2008,1
600403,2009,1
600403,2010,1
600403,2011,1
600403,2012,1
600403,2013,1
600403,2014,1
600403,2015,1
600403,2016,1
600423,2003,1
600423,2004,1
600423,2005,1
600423,2006,1
600423,2007,1
600423,2008,1
600423,2009,1
600423,2010,1
600423,2011,1
600423,2012,1
600423,2013,1
600423,2014,1
600423,2015,1
600423,2016,1
600425,2003,1
600425,2004,1
600425,2005,1
600425,2006,1
600425,2007,1
600425,2008,1
600425,2009,1
600425,2010,1
600425,2011,1
600425,2012,1
600425,2013,1
600425,2014,1
600425,2015,1
600425,2016,1
600432,2003,1
600432,2004,1
600432,2005,1
600432,2006,1
600432,2007,1
600432,2008,1
600432,2009,1
600432,2010,1
600432,2011,1
600432,2012,1
600432,2013,1
600432,2014,1
600432,2015,1
600432,2016,1
600540,2003,1
600540,2004,1
600540,2005,1
600540,2006,1
600540,2007,1
600540,2008,1
600540,2009,1
600540,2010,1
600540,2011,1
600540,2012,1
600540,2013,1
600540,2014,1
600540,2015,1
600540,2016,1
600556,2002,1
600556,2003,1
600556,2004,1
600556,2005,1
600556,2006,1
600556,2007,1
600556,2008,1
600556,2009,1
600556,2010,1
600556,2011,1
600556,2012,1
600556,2013,1
600556,2014,1
600556,2015,1
600556,2016,1
600581,2002,1
600581,2003,1
600581,2004,1
600581,2005,1
600581,2006,1
600581,2007,1
600581,2008,1
600581,2009,1
600581,2010,1
600581,2011,1
600581,2012,1
600581,2013,1
600581,2014,1
600581,2015,1
600581,2016,1
600591,2002,1
600591,2003,1
600591,2004,1
600591,2005,1
600591,2006,1
600591,2007,1
600591,2008,1
600608,2002,1
600608,2003,1
600608,2004,1
600608,2005,1
600608,2006,1
600608,2007,1
600608,2008,1
600608,2009,1
600608,2010,1
600608,2011,1
600608,2012,1
600608,2013,1
600608,2014,1
600608,2015,1
600608,2016,1
600636,2002,1
600636,2003,1
600636,2004,1
600636,2005,1
600636,2006,1
600636,2007,1
600636,2008,1
600636,2009,1
600636,2010,1
600636,2011,1
600636,2012,1
600636,2013,1
600636,2014,1
600636,2015,1
600636,2016,1
600646,2002,1
600654,2002,1
600654,2003,1
600654,2004,1
600654,2005,1
600654,2006,1
600654,2007,1
600654,2008,1
600654,2009,1
600654,2010,1
600654,2011,1
600654,2012,1
600654,2013,1
600654,2014,1
600654,2015,1
600654,2016,1
600659,2002,1
600659,2003,1
600659,2004,1
600669,2002,1
600669,2003,1
600670,2002,1
600670,2003,1
600672,2002,1
600672,2003,1
600672,2004,1
600680,2002,1
600680,2003,1
600680,2004,1
600680,2005,1
600680,2006,1
600680,2007,1
600680,2008,1
600680,2009,1
600680,2010,1
600680,2011,1
600680,2012,1
600680,2013,1
600680,2014,1
600680,2015,1
600680,2016,1
600696,2002,1
600696,2003,1
600696,2004,1
600696,2005,1
600696,2006,1
600696,2007,1
600696,2008,1
600696,2009,1
600696,2010,1
600696,2011,1
600696,2012,1
600696,2013,1
600696,2014,1
600696,2015,1
600696,2016,1
600700,2002,1
600700,2003,1
600700,2004,1
600709,2002,1
600710,2002,1
600710,2003,1
600710,2004,1
600710,2005,1
600710,2006,1
600710,2007,1
600710,2008,1
600710,2009,1
600710,2010,1
600710,2011,1
600710,2012,1
600710,2013,1
600710,2014,1
600710,2015,1
600710,2016,1
600725,2002,1
600725,2003,1
600725,2004,1
600725,2005,1
600725,2006,1
600725,2007,1
600725,2008,1
600725,2009,1
600725,2010,1
600725,2011,1
600725,2012,1
600725,2013,1
600725,2014,1
600725,2015,1
600725,2016,1
600732,2002,1
600732,2003,1
600732,2004,1
600732,2005,1
600732,2006,1
600732,2007,1
600732,2008,1
600732,2009,1
600732,2010,1
600732,2011,1
600732,2012,1
600732,2013,1
600732,2014,1
600732,2015,1
600732,2016,1
600733,2002,1
600733,2003,1
600733,2004,1
600733,2005,1
600733,2006,1
600733,2007,1
600733,2008,1
600733,2009,1
600733,2010,1
600733,2011,1
600733,2012,1
600733,2013,1
600733,2014,1
600733,2015,1
600733,2016,1
600747,2002,1
600747,2003,1
600747,2004,1
600747,2005,1
600747,2006,1
600747,2007,1
600747,2008,1
600747,2009,1
600747,2010,1
600747,2011,1
600747,2012,1
600747,2013,1
600747,2014,1
600747,2015,1
600747,2016,1
600752,2002,1
600752,2003,1
600752,2004,1
600762,2002,1
600762,2003,1
600762,2004,1
600762,2005,1
600762,2006,1
600767,2002,1
600767,2003,1
600767,2004,1
600767,2005,1
600767,2006,1
600767,2007,1
600767,2008,1
600767,2009,1
600767,2010,1
600767,2011,1
600767,2012,1
600767,2013,1
600767,2014,1
600767,2015,1
600767,2016,1
600772,2002,1
600772,2003,1
600772,2004,1
600788,2002,1
600788,2003,1
600799,2002,1
600799,2003,1
600799,2004,1
600806,2002,1
600806,2003,1
600806,2004,1
600806,2005,1
600806,2006,1
600806,2007,1
600806,2008,1
600806,2009,1
600806,2010,1
600806,2011,1
600806,2012,1
600806,2013,1
600806,2014,1
600806,2015,1
600806,2016,1
600815,2002,1
600815,2003,1
600815,2004,1
600815,2005,1
600815,2006,1
600815,2007,1
600815,2008,1
600815,2009,1
600815,2010,1
600815,2011,1
600815,2012,1
600815,2013,1
600815,2014,1
600815,2015,1
600815,2016,1
600817,2002,1
600817,2003,1
600817,2004,1
600817,2005,1
600817,2006,1
600817,2007,1
