stkcd,year,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
000012,2016,C30,0.207673,0.521026,0.049538,0.06324,29.263279,0,4,23.555257000915308,1,0.054016138652291025,0.06512465767577076
000014,2002,K70,0.02181,0.668176,0.051546,0.200698,24.214993,1,3,20.35872232874972,1,0.0067282808239787694,0.5962881052695407
000014,2003,K70,-0.378634,0.697302,0.038409,0.129537,20.089957,1,3,20.572399339167987,1,0.0040714522883847255,0.7046964592989375
000014,2004,K70,0.675379,0.750282,0.027178,0.119676,18.257115,1,4,20.877842281551555,1,0.004834765942963031,0.6843940409623742
000014,2005,K70,-0.113992,0.648903,0.028468,0.206478,19.282689,1,2,20.72481618054248,1,0.005676629637991693,0.5109568844697285
000014,2006,K70,-0.237034,0.632946,0.02833,0.072824,33.821696,1,1,20.750664763675065,1,0.00598373927209314,0.7357353461878721
000014,2007,K70,-0.44474,0.668238,0.001631,-0.026528,NA,1,1,20.824869394567173,1,0.006251700576382532,0.7713376120481266
000014,2008,K70,0.678886,0.743529,0.031469,0.16434,34.010655,1,0,21.23442509585001,1,0.004245992283438146,0.7496143891727853
000014,2009,K70,1.223089,0.719721,0.04879,0.141799,37.592128,1,1,21.278260525745445,1,0.004151560903908282,0.6633180113781186
000014,2010,K70,0.059516,0.647874,0.046593,0.146583,23.882254,1,1,21.18684600235041,1,0.005563385544879131,0.6727567311808011
000014,2011,K70,-0.456148,0.663812,0.038165,0.079387,15.291799,1,0,21.309556604663136,1,0.004672641354541007,0.7531058121079274
000014,2012,K70,0.053701,0.686526,0.017379,0.048228,51.55861,1,1,21.426612142160256,1,0.004066153844236578,0.7550083331938218
000014,2013,K70,0.338565,0.649425,0.017994,0.047626,58.779415,1,6,21.36127858802748,1,0.005038895188789781,0.7651846599379813
000014,2014,K70,-0.092446,0.676601,0.030408,0.090149,44.335566,1,4,21.52828274485516,1,0.004726388677301275,0.7857266040193722
000014,2015,K70,-0.192651,0.643892,0.024238,0.068541,86.141735,1,1,21.498230300305035,1,0.004376500236411867,0.8363061492614163
000014,2016,K70,0.502267,0.575952,0.014397,0.02801,144.041939,1,4,21.351241972634487,1,0.005276717404315508,0.7413433238315402
000016,2002,C39,0.191688,0.545333,0.006501,0.009822,88.649491,1,3,22.67002907359044,1,0.022959698295124786,0.4078635301292828
000016,2003,C39,0.592517,0.658813,0.013804,0.03226,35.110528,1,3,22.988914681641187,1,0.01600082573018013,0.37168742558560985
000016,2004,C39,0.04342,0.641335,0.016675,0.046915,20.272095,1,4,22.984804514093785,1,0.016496134637783866,0.44428233758796654
000016,2005,C39,-0.142685,0.619856,0.002059,0.007169,109.983166,1,2,22.93378523059254,1,0.017394108486989343,0.4557732856609255
000016,2006,C39,0.104772,0.64376,0.011549,0.022578,22.738823,1,1,23.021057983501567,1,0.014467562621066792,0.4615614497947787
000016,2007,C39,-0.038485,0.591938,0.022182,0.067869,24.976014,1,1,22.95090914861831,1,0.015686228192648314,0.42841375444840213
000016,2008,C39,0.002976,0.617391,0.026269,0.066198,13.65216,1,0,23.07941283342236,1,0.011246308222937483,0.3709976944181165
000016,2009,C39,0.086335,0.697358,0.012222,0.017256,62.818138,1,1,23.33098604274606,1,0.009830306384602805,0.35987744237234454
000016,2010,C39,0.290551,0.743477,0.006738,0.028705,56.635425,1,1,23.524617873084065,1,0.008868838216865195,0.345831518729256
000016,2011,C39,-0.052236,0.749408,0.001449,0.002957,157.347113,1,0,23.550961238828435,1,0.008576382220184942,0.27933895800419556
000016,2012,C39,0.130737,0.743593,0.002715,0.002412,83.729601,1,1,23.530432129688815,1,0.009666412654609711,0.3643648487676271
000016,2013,C39,0.091007,0.728132,0.003705,0.00783,77.657568,1,6,23.479679719858808,1,0.009782046212404891,0.38388851273961316
000016,2014,C39,-0.029153,0.743884,0.003722,0.004055,119.154603,1,4,23.543415353525823,1,0.009808421143088204,0.36733997736426205
000016,2015,C39,-0.052942,0.784184,-0.082234,-0.284356,-13.041479,1,1,23.380048536170545,0,0.014336732706145076,0.3460492745460519
000016,2016,C39,0.103515,0.807546,0.005854,0.079029,117.817104,1,4,23.570679036972365,1,0.0106358989136323,0.38249340292025735
000017,2002,C37,0.380033,4.870939,0.012243,-0.002919,361.637623,0,3,20.055741343250467,1,0.03833713506928763,0.17138945491525973
000017,2003,C37,0.383092,4.793673,-0.07004,-0.150117,-48.956865,0,3,19.913247122885746,0,0.044356919005441475,0.3025559390389503
000017,2004,C37,0.395673,4.989218,-0.03974,0.010704,-78.115681,0,4,19.873633259527214,0,0.037107433741708835,0.32997558572372815
000017,2005,C37,0.18836,6.512396,0.019597,0.062863,154.234949,0,2,19.611195156746284,1,0.0454027122341968,0.250452268079752
000017,2006,C37,0.337656,7.978952,-0.033733,0.027927,-135.660242,0,1,19.402839883522827,0,0.046426333682392566,0.23770231453126334
000017,2007,C37,0.067956,9.429048,0.253671,-0.030318,NA,0,1,19.18326783886071,1,0.054829924700612244,0.1940411839750154
000017,2008,C37,0.168804,10.443048,-0.219551,-0.002422,NA,0,0,19.06724826924187,0,0.05942078968570945,0.19163340514849717
000017,2009,C37,-0.048485,11.966728,-0.58881,0.032374,NA,0,1,18.94952163687651,0,0.04519011819698342,0.19433640746712155
000017,2010,C37,0.146102,13.711421,0.418882,-0.056329,42.840632,0,1,18.743909086813147,1,0.08233895795723893,0.1695557831761368
000017,2011,C37,0.073626,13.396917,0.290034,-0.041764,37.893901,0,0,18.726300698054132,1,0.06898143296755661,0.13392853833251192
000017,2012,C37,-0.08789,11.509686,-0.349379,0.015778,NA,0,1,18.90710553180203,0,0.02857771556861894,0.1451859508039518
000017,2013,C37,-0.074157,0.949187,10.032189,-1.004504,1.539434,0,6,18.836171624952364,1,0.01643397274808506,0.07659730831964118
000017,2014,C37,-0.217774,0.737887,0.056975,0.75302,656.888794,0,4,17.756891326980448,1,0.016159888824098197,0.2517455575397506
000017,2015,C37,-0.193712,0.708077,-0.002176,-0.007845,-72348.0171,0,1,17.641302136053877,0,0.019661009457235427,0.2889209828244405
000017,2016,C37,-0.169715,0.680489,0.077865,0.290628,1785.132161,0,4,17.806128005358353,1,0.01812454375648564,0.28638049325488835
