stkcd,year,lnfees,opinion_dum,downturn,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
600971,2009,14.403297222866392,0,1,B06,1.607026,0.713626,0.05284,0.864742,25.382535,1,1,23.101246176322505,1,0.04941143887278226,0.031628712607278085
600971,2012,14.690979295318174,0,1,B06,0.099531,0.48202,0.057516,0.125829,17.242001,1,1,23.322493524734664,1,0.05834115551751185,0.03519602855850297
600971,2013,14.690979295318174,0,1,B06,-0.109328,0.465022,0.024309,0.026115,21.873184,1,6,23.31598473855439,1,0.057307805304113085,0.037899471649627474
600971,2014,14.690979295318174,0,1,B06,-0.208298,0.493659,0.002206,-0.021828,290.991588,1,4,23.348930431702385,1,0.05682438381790333,0.04920541438691793
600971,2015,14.690979295318174,0,1,B06,-0.384567,0.558758,-0.10266,-0.181628,-4.574726,1,1,23.286108545981538,0,0.060816270899631736,0.06446880738756866
600971,2016,14.690979295318174,0,1,B06,0.166241,0.572415,0.003027,0.011913,156.205328,1,4,23.32939172794259,1,0.05366613348743763,0.0369300937898083
600973,2011,13.458835614025542,0,1,C38,0.202788,0.620898,0.004576,0.663406,126.169332,1,0,22.249577389601754,1,0.015378268608844718,0.5078559219178946
600973,2005,12.611537753638338,0,0,C38,0.252946,0.487342,0.046028,0.04715,15.799756,1,2,20.85735641882048,1,0.014713133249536828,0.5055198429375022
600973,2006,12.611537753638338,0,0,C38,0.961962,0.56524,0.076229,0.173255,18.991625,1,1,21.181951870001328,1,0.019417454370752575,0.5850877656116622
600973,2008,13.081541382884074,0,1,C38,0.152923,0.676993,0.002217,-0.090568,233.343828,1,0,21.56570450871856,1,0.019853824884760635,0.6027245946480139
600973,2009,13.217673557208654,0,1,C38,-0.142874,0.606997,0.04321,0.333453,29.524196,1,1,21.657335024156367,1,0.019012639488818688,0.5693916536753181
600973,2010,13.399995114002609,0,0,C38,0.486439,0.678341,0.03243,0.048504,35.169098,1,1,21.905023605170555,1,0.017871670195859893,0.5498495257814769
600973,2012,13.458835614025542,0,1,C38,0.235663,0.662772,0.018227,0.145617,23.092689,1,1,22.502566427158676,1,0.01291041117182872,0.512002690136834
600973,2013,13.9108207377686,0,1,C38,0.144512,0.696461,0.015777,0.030761,30.277439,1,6,22.638113459001165,1,0.013562673209108093,0.5214319395740598
600973,2014,13.815510557964274,0,1,C38,0.240064,0.750662,0.016849,0.037486,34.215739,1,4,22.8716158340836,1,0.012002391584812906,0.5222735660833212
600973,2015,13.815510557964274,0,1,C38,0.067919,0.739858,0.019126,0.077229,38.481245,1,1,22.90358899954308,1,0.01656341134483081,0.47732623283661946
600975,2005,12.611537753638338,0,0,A03,0.074644,0.057662,0.051413,0.04596,21.216382,1,2,20.044248165859038,1,0.02632272361381649,0.1328395812547109
600975,2006,12.611537753638338,0,0,A03,-0.113188,0.088206,0.048332,-0.026908,27.585289,1,1,20.049921164270874,1,0.026453759707909735,0.1425819464573344
600975,2011,12.873902018105829,0,1,A03,0.095828,0.284426,0.100647,0.154225,20.7041,1,0,20.440955869663526,1,0.036672428878827185,0.3222985041781619
600975,2007,12.765688433465597,0,0,A03,0.208647,0.242832,0.033789,0.016336,149.997346,1,1,20.25195434946682,1,0.02657162360132759,0.11575439429427738
600975,2008,12.765688433465597,0,1,A03,0.362474,0.242309,0.014598,-0.058954,127.451492,1,0,20.190500137137356,1,0.035120624551494735,0.1753898244912614
600975,2009,12.765688433465597,0,1,A03,-0.256624,0.365511,0.03244,0.079457,93.969723,1,1,20.444414660433413,1,0.03410291314010423,0.2568181202176094
600975,2010,12.84792653170257,0,0,A03,0.526353,0.311137,0.026099,-0.026271,97.697603,1,1,20.335570036959016,1,0.04146942676632451,0.30755458670626995
600975,2012,13.122363377404328,0,1,A03,0.079711,0.335354,0.023067,0.133978,74.747125,1,1,20.640518521691885,1,0.0323263928623528,0.33824356724978083
600975,2013,13.122363377404328,0,1,A03,0.088775,0.483102,0.009261,0.016337,145.380273,1,6,20.908132603610625,1,0.028395015076503258,0.30961157018627283
600975,2014,13.217673557208654,0,1,A03,0.15256,0.532028,-0.055275,-0.031887,-40.12505,1,4,20.975162914898473,0,0.03498300117113688,0.34472523403061633
600975,2015,13.217673557208654,0,1,A03,0.018075,0.33172,0.003928,0.87693,938.086081,1,1,21.248501718221515,1,0.02988846747638352,0.24755933722328155
600975,2016,13.217673557208654,0,1,A03,0.275511,0.322412,0.096267,0.148237,32.755143,1,4,21.37289739947909,1,0.030796687881237312,0.26594849010928096
600976,2008,13.017002861746503,0,1,C27,-0.19377,0.343214,0.015207,0.02506,46.274545,0,0,20.87085070636696,1,0.013781454744004933,0.20560613570545586
600976,2009,13.017002861746503,0,1,C27,0.836191,0.367091,0.03525,0.07761,49.400819,0,1,20.982627522798346,1,0.013336835229718584,0.25569633535048913
600976,2010,13.122363377404328,0,0,C27,0.024852,0.212311,0.057716,0.034736,51.16971,0,1,20.797996852682452,1,0.014821647313977516,0.19986516457452239
600976,2011,13.122363377404328,0,1,C27,-0.101233,0.249332,0.069707,0.033181,29.611231,0,0,20.878779513756832,1,0.013264322479051488,0.20583971340424406
600976,2012,13.122363377404328,0,1,C27,0.089816,0.283824,0.067952,0.029787,28.807802,0,1,20.955168805901636,1,0.010705938674652285,0.26173949973045424
600976,2013,13.122363377404328,0,1,F52,0.293975,0.349334,0.071093,0.041376,38.17333,0,6,21.09164046656611,1,0.009261197704024308,0.29187640128605014
600976,2014,13.592367006650065,0,1,F52,-0.119908,0.352202,0.079506,0.06546,35.296622,0,4,21.159465895492033,1,0.00935434911589592,0.2897587585175442
600976,2015,13.592367006650065,0,1,F52,0.300961,0.37746,0.055257,-0.004657,59.649449,0,1,21.194568698074768,1,0.009564076914500284,0.30981403956274794
600976,2016,13.592367006650065,0,1,F52,0.036135,0.429502,0.038163,0.034077,75.278835,0,4,21.31537493222772,1,0.0094795535678926,0.3390708690958299
600978,2005,12.765688433465597,0,0,C21,0.21467,0.45697,0.079085,0.10392,14.450043,0,2,21.138488534562047,1,0.014398812662262088,0.303613373277005
600978,2006,12.948009990259552,0,0,C21,0.471199,0.462443,0.103569,0.191864,28.282697,0,1,21.324137105501983,1,0.013854745904263647,0.2991889721529381
600978,2007,13.038981768465277,0,0,C21,0.730182,0.404083,0.096276,1.489632,44.145521,0,1,22.133205793945436,1,0.00873600787658211,0.23505638092038517
600978,2008,13.42984807715229,0,1,C21,-0.100889,0.316068,0.046728,0.07028,15.537568,0,0,22.063369251115702,1,0.01230613018418546,0.294032093307693
600978,2009,13.527828485512494,0,1,C21,0.193536,0.372213,0.070098,0.109335,26.403216,0,1,22.252787884328775,1,0.012447281980649235,0.28287401925707456
600978,2010,13.592367006650065,0,0,C21,0.139404,0.352197,0.046212,0.349685,29.032011,0,1,22.521273300741885,1,0.023241757314310992,0.27291491612577623
600978,2011,13.9108207377686,0,1,C21,0.10005,0.426017,0.038061,0.046444,17.018618,0,0,22.687658070897115,1,0.02340408086579186,0.29221495690766314
600978,2012,13.9108207377686,0,1,C21,0.243009,0.455254,0.039921,0.061935,18.804264,0,1,22.80003033253376,1,0.026342844900183914,0.29142834970938414
600978,2013,14.346138809026444,0,1,C21,0.222031,0.458375,0.049391,0.074852,16.107604,0,6,22.877959115636852,1,0.025857471142886397,0.2687704022853288
600978,2014,14.603967918328545,0,1,C21,0.082053,0.377643,0.055873,0.365461,16.929568,0,4,23.05050998957769,1,0.0240866993956061,0.2869963353642622
600978,2016,14.914122846632385,0,1,C21,0.241416,0.535645,0.049325,0.082521,22.311794,0,4,23.494291852545956,1,0.019500233352501724,0.2713593851987964
600979,2008,13.38472764187182,0,1,D44,0.23571,0.67372,0.030239,0.127118,21.622256,1,0,21.037497609217063,1,0.04263726737006182,0.03760260847007445
600979,2009,13.38472764187182,0,1,D44,0.079418,0.657593,0.037746,0.106673,35.704534,1,1,21.09061380924242,1,0.04339975466131034,0.02992931711269042
600979,2010,13.527828485512494,0,0,D44,0.23062,0.629257,0.027512,1.328357,50.691264,1,1,21.85626770330835,1,0.0208692521129322,0.017893328735413043
600979,2011,13.527828485512494,0,1,D44,0.230074,0.628495,0.016874,0.038412,50.792557,1,0,21.89190671309578,1,0.029296206759972365,0.01815674904946706
600979,2012,13.864300722133706,0,1,D44,0.183907,0.656967,0.018515,0.04316,44.306076,1,1,22.013895865182178,1,0.030636719404962872,0.026588006814553467
600979,2013,13.864300722133706,0,1,D44,0.13536,0.585823,0.017538,0.447491,50.494448,1,6,22.195261756659885,1,0.02942466222156017,0.03481514456395128
